,0
0,-2205.25
0,112.0
0,121.5
0,124.25
0,114.5
0,70.0
0,55.75
0,24.0
0,43.5
0,104.5
0,105.25
0,109.0
0,111.5
0,105.25
0,98.75
0,115.25
0,140.0
0,25.75
0,109.5
0,98.25
0,99.5
0,119.75
0,117.25
0,57.0
0,36.5
0,26.75
0,22.75
0,-5.75
0,12.5
0,-2.25
0,-1.75
0,25.75
0,36.0
0,36.5
0,29.75
0,15.25
0,102.0
0,109.5
0,114.5
0,98.25
0,85.25
0,103.25
0,114.5
0,119.0
0,118.5
0,112.0
0,116.5
0,119.0
0,122.75
0,111.5
0,116.5
0,116.0
0,120.25
0,121.5
0,133.0
0,103.25
0,65.75
0,55.75
0,39.5
0,37.25
0,28.5
0,28.0
0,13.0
0,68.25
0,39.0
0,13.0
0,17.75
0,91.25
0,95.0
0,110.75
0,105.25
0,106.5
0,105.75
0,105.25
0,110.75
0,106.5
0,114.5
0,107.0
0,106.5
0,105.25
0,101.25
0,98.25
0,92.0
0,104.5
0,102.0
0,100.75
0,98.75
0,100.75
0,117.75
0,36.0
0,103.75
0,103.25
0,121.5
0,51.75
0,100.75
0,103.75
0,107.0
0,106.5
0,118.5
0,112.0
0,60.5
0,47.75
0,100.0
0,98.75
0,111.5
0,112.75
0,93.25
0,102.5
0,115.25
0,108.25
0,78.25
0,48.25
0,25.0
0,24.0
0,105.75
0,102.0
0,94.5
0,107.0
0,94.5
0,115.25
0,67.5
0,107.75
0,95.75
0,102.0
0,110.75
0,112.75
0,22.25
0,104.5
0,109.0
0,98.75
0,109.0
0,124.25
0,57.0
0,107.75
0,110.25
0,105.25
0,113.25
0,101.25
0,113.25
0,106.5
0,54.75
0,110.75
0,109.5
0,111.5
0,102.5
0,117.25
0,107.0
0,71.0
0,72.25
0,36.0
0,105.25
0,107.75
0,112.0
0,106.5
0,109.5
0,107.0
0,118.5
0,117.25
0,105.25
0,80.5
0,57.0
0,30.25
0,108.25
0,108.25
0,114.0
0,106.5
0,119.0
0,104.5
0,60.0
0,110.25
0,106.5
0,103.75
0,101.25
0,113.25
0,105.25
0,87.0
0,62.25
0,52.25
0,48.25
0,111.5
0,110.75
0,107.75
0,104.5
0,117.25
0,100.75
0,77.5
0,109.5
0,114.5
0,116.5
0,77.5
0,112.75
0,106.5
0,114.0
0,76.5
0,112.0
0,111.5
0,111.5
0,113.25
0,107.0
0,85.25
0,47.0
0,110.25
0,104.5
0,94.5
0,111.5
0,128.5
0,25.0
0,108.25
0,114.5
0,101.25
0,54.0
0,108.25
0,112.0
0,106.5
0,109.5
0,114.0
0,71.75
0,110.75
0,121.5
0,80.5
0,107.0
0,85.25
0,126.75
0,64.0
0,111.5
0,104.5
0,109.0
0,110.75
0,100.0
0,112.75
0,108.25
0,114.5
0,53.0
0,98.25
0,90.0
0,82.25
0,126.75
0,100.75
0,115.25
0,100.75
0,115.25
0,100.0
0,116.5
0,97.0
0,110.75
0,101.25
0,36.5
0,111.5
0,100.0
0,120.25
0,97.0
0,117.75
0,107.0
0,50.5
0,110.75
0,99.5
0,119.0
0,103.75
0,111.5
0,102.5
0,119.0
0,97.0
0,90.0
0,104.5
0,64.5
0,105.75
0,67.0
0,111.5
0,100.75
0,121.0
0,101.25
0,121.0
0,103.25
0,133.0
0,102.5
0,68.25
0,105.25
0,51.75
0,104.5
0,51.25
0,103.75
0,57.0
0,108.25
0,62.75
0,110.25
0,62.75
0,92.5
0,80.0
0,99.5
0,80.5
0,88.75
0,61.0
0,110.25
0,53.5
0,110.25
0,28.0
0,110.25
0,25.75
0,111.5
0,60.5
0,114.0
0,100.0
0,116.0
0,-1.25
0,110.75
0,25.0
0,112.0
0,68.25
0,103.25
0,111.5
0,103.25
0,116.0
0,27.5
0,109.0
0,64.0
0,102.5
0,112.0
0,109.5
0,114.0
0,66.25
0,104.5
0,58.25
0,105.25
0,106.5
0,112.75
0,115.25
0,103.25
0,116.5
0,41.75
0,109.5
0,57.0
0,110.25
0,61.75
0,102.0
0,82.25
0,97.5
0,110.75
0,98.25
0,110.25
0,31.5
0,103.25
0,110.75
0,55.25
0,106.5
0,109.5
0,111.5
0,46.5
0,105.25
0,107.75
0,109.5
0,59.25
0,104.5
0,102.5
0,114.5
0,107.0
0,49.5
0,103.25
0,105.25
0,110.75
0,113.25
0,25.0
0,102.5
0,105.25
0,112.0
0,65.75
0,97.5
0,108.25
0,110.25
0,113.25
0,81.25
0,103.25
0,87.75
0,105.75
0,87.0
0,43.0
0,104.5
0,107.0
0,109.5
0,79.25
0,98.25
0,100.0
0,110.75
0,61.0
0,100.0
0,106.5
0,103.25
0,24.5
0,101.25
0,107.75
0,111.5
0,40.75
0,97.0
0,114.5
0,63.5
0,103.75
0,113.25
0,109.0
0,41.25
0,100.0
0,107.75
0,109.5
0,86.0
0,92.5
0,116.0
0,54.75
0,102.0
0,109.0
0,112.0
0,37.25
0,100.0
0,110.25
0,104.5
0,64.5
0,88.75
0,114.5
0,54.75
0,105.25
0,107.75
0,110.75
0,58.25
0,108.25
0,110.25
0,110.25
0,67.0
0,89.5
0,112.0
0,33.25
0,88.25
0,111.5
0,32.5
0,90.0
0,116.5
0,51.25
0,86.5
0,114.0
0,65.25
0,104.5
0,105.75
0,90.75
0,105.75
0,110.75
0,104.5
0,104.5
0,118.5
0,103.25
0,114.0
0,48.25
0,87.0
0,111.5
0,44.25
0,98.25
0,109.0
0,116.5
0,97.5
0,98.75
0,116.0
0,68.75
0,106.5
0,105.25
0,109.0
0,17.0
0,103.25
0,104.5
0,31.5
0,105.75
0,111.5
0,84.75
0,107.75
0,114.5
0,106.5
0,111.5
0,110.25
0,103.25
0,111.5
0,110.25
0,70.0
0,114.5
0,101.25
0,56.5
0,107.0
0,110.75
0,105.25
0,88.25
0,61.0
0,107.0
0,110.75
0,102.5
0,100.75
0,29.0
0,105.25
0,46.5
0,102.0
0,107.75
0,101.25
0,116.5
0,78.75
0,104.5
0,52.25
0,100.75
0,112.75
0,78.25
0,98.75
0,65.25
0,100.0
0,117.75
0,96.25
0,107.0
0,65.25
0,99.5
0,122.75
0,92.5
0,105.75
0,118.5
0,104.5
0,101.25
0,92.0
0,108.25
0,122.25
0,59.25
0,83.5
0,118.5
0,107.0
0,121.5
0,27.5
0,98.75
0,121.5
0,105.75
0,103.25
0,76.5
0,101.25
0,120.25
0,100.75
0,113.25
0,11.25
0,108.25
0,45.25
0,102.5
0,118.5
0,104.5
0,105.75
0,36.5
0,95.0
0,88.25
0,104.5
0,109.5
0,102.5
0,102.5
0,15.25
0,98.75
0,124.75
0,106.5
0,109.0
0,103.25
0,102.0
0,8.5
0,98.75
0,20.5
0,95.0
0,94.5
0,101.25
0,119.0
0,81.75
0,102.0
0,58.25
0,102.5
0,114.0
0,98.25
0,121.0
0,103.75
0,124.25
0,109.0
0,116.0
0,25.75
0,105.25
0,55.25
0,88.75
0,80.5
0,103.25
0,62.75
0,106.5
0,136.25
0,93.75
0,111.5
0,105.25
0,112.75
0,90.0
0,105.75
0,14.75
0,106.5
0,57.5
0,105.75
0,119.0
0,102.5
0,98.75
0,99.5
0,101.25
0,19.25
0,100.75
0,92.0
0,107.0
0,79.25
0,100.0
0,99.5
0,86.5
0,104.5
0,100.75
0,108.25
0,100.0
0,112.75
0,101.25
0,113.25
0,105.75
0,107.75
0,0.0
0,105.25
0,45.25
0,109.5
0,44.75
0,102.0
0,55.25
0,109.0
0,62.25
0,107.0
0,122.25
0,99.5
0,115.25
0,102.0
0,114.0
0,37.75
0,100.75
0,37.75
0,97.5
0,53.5
0,98.75
0,126.0
0,98.25
0,118.5
0,98.25
0,117.25
0,100.0
0,121.5
0,100.0
0,118.5
0,98.75
0,117.75
0,100.0
0,122.75
0,101.25
0,119.75
0,98.75
0,123.5
0,98.75
0,116.0
0,102.0
0,112.75
0,99.5
0,114.5
0,100.75
0,109.5
0,103.25
0,112.75
0,102.5
0,82.25
0,101.25
0,62.75
0,104.5
0,36.0
0,107.75
0,84.75
0,114.0
0,103.75
0,116.0
0,109.0
0,119.0
0,111.5
0,107.0
0,101.25
0,111.5
0,106.5
0,100.75
0,100.75
0,53.0
0,99.5
0,109.0
0,117.75
0,109.0
0,112.75
0,108.25
0,109.5
0,106.5
0,100.75
0,103.75
0,55.75
0,95.75
0,107.0
0,106.5
0,102.5
0,102.5
0,103.75
0,106.5
0,105.25
